dataset, source, target
v_abstract,1,2
v_abstract,1,3
v_abstract,1,4
v_abstract,1,5
v_abstract,1,6
v_adam,1,2
v_adam,1,3
v_adam,1,4
v_adam,1,5
v_adam,1,6
v_apprentices,1,2
v_apprentices,1,3
v_apprentices,1,4
v_apprentices,1,5
v_apprentices,1,6
v_artisans,1,2
v_artisans,1,3
v_artisans,1,4
v_artisans,1,5
v_artisans,1,6
v_astronautis,1,2
v_astronautis,1,3
v_astronautis,1,4
v_astronautis,1,5
v_astronautis,1,6
v_azzola,1,2
v_azzola,1,3
v_azzola,1,4
v_azzola,1,5
v_azzola,1,6
v_bark,1,2
v_bark,1,3
v_bark,1,4
v_bark,1,5
v_bark,1,6
v_bees,1,2
v_bees,1,3
v_bees,1,4
v_bees,1,5
v_bees,1,6
v_beyus,1,2
v_beyus,1,3
v_beyus,1,4
v_beyus,1,5
v_beyus,1,6
v_bip,1,2
v_bip,1,3
v_bip,1,4
v_bip,1,5
v_bip,1,6
v_bird,1,2
v_bird,1,3
v_bird,1,4
v_bird,1,5
v_bird,1,6
v_birdwoman,1,2
v_birdwoman,1,3
v_birdwoman,1,4
v_birdwoman,1,5
v_birdwoman,1,6
v_blueprint,1,2
v_blueprint,1,3
v_blueprint,1,4
v_blueprint,1,5
v_blueprint,1,6
v_boat,1,2
v_boat,1,3
v_boat,1,4
v_boat,1,5
v_boat,1,6
v_bricks,1,2
v_bricks,1,3
v_bricks,1,4
v_bricks,1,5
v_bricks,1,6
v_busstop,1,2
v_busstop,1,3
v_busstop,1,4
v_busstop,1,5
v_busstop,1,6
v_calder,1,2
v_calder,1,3
v_calder,1,4
v_calder,1,5
v_calder,1,6
v_cartooncity,1,2
v_cartooncity,1,3
v_cartooncity,1,4
v_cartooncity,1,5
v_cartooncity,1,6
v_charing,1,2
v_charing,1,3
v_charing,1,4
v_charing,1,5
v_charing,1,6
v_churchill,1,2
v_churchill,1,3
v_churchill,1,4
v_churchill,1,5
v_churchill,1,6
v_circus,1,2
v_circus,1,3
v_circus,1,4
v_circus,1,5
v_circus,1,6
v_coffeehouse,1,2
v_coffeehouse,1,3
v_coffeehouse,1,4
v_coffeehouse,1,5
v_coffeehouse,1,6
v_colors,1,2
v_colors,1,3
v_colors,1,4
v_colors,1,5
v_colors,1,6
v_courses,1,2
v_courses,1,3
v_courses,1,4
v_courses,1,5
v_courses,1,6
v_dirtywall,1,2
v_dirtywall,1,3
v_dirtywall,1,4
v_dirtywall,1,5
v_dirtywall,1,6
v_dogman,1,2
v_dogman,1,3
v_dogman,1,4
v_dogman,1,5
v_dogman,1,6
v_eastsouth,1,2
v_eastsouth,1,3
v_eastsouth,1,4
v_eastsouth,1,5
v_eastsouth,1,6
v_feast,1,2
v_feast,1,3
v_feast,1,4
v_feast,1,5
v_feast,1,6
v_fest,1,2
v_fest,1,3
v_fest,1,4
v_fest,1,5
v_fest,1,6
v_gardens,1,2
v_gardens,1,3
v_gardens,1,4
v_gardens,1,5
v_gardens,1,6
v_grace,1,2
v_grace,1,3
v_grace,1,4
v_grace,1,5
v_grace,1,6
v_graffiti,1,2
v_graffiti,1,3
v_graffiti,1,4
v_graffiti,1,5
v_graffiti,1,6
v_home,1,2
v_home,1,3
v_home,1,4
v_home,1,5
v_home,1,6
v_laptop,1,2
v_laptop,1,3
v_laptop,1,4
v_laptop,1,5
v_laptop,1,6
v_london,1,2
v_london,1,3
v_london,1,4
v_london,1,5
v_london,1,6
v_machines,1,2
v_machines,1,3
v_machines,1,4
v_machines,1,5
v_machines,1,6
v_man,1,2
